Model,Pipeline,High-Recall,High-F1,Med-Recall,Med-F1,Low-Recall,Low-F1
HistGB,Tree,0.9746835443037974,0.9005847953216374,0.9652173913043478,0.8951612903225806,0.9223057644110275,0.9595827900912647
LightGBM,Tree,0.9493670886075949,0.9259259259259259,0.9304347826086956,0.8991596638655462,0.9523809523809523,0.9669211195928753
DecisionTree,Tree,0.9367088607594937,0.891566265060241,0.9391304347826087,0.8888888888888888,0.9348370927318296,0.9601029601029601
RandomForest,Tree,0.9367088607594937,0.8554913294797688,0.9565217391304348,0.873015873015873,0.9072681704260651,0.9513797634691196
XGBoost,Tree,0.9240506329113924,0.9125,0.9391304347826087,0.8925619834710744,0.9423558897243107,0.9591836734693877
XGBRF,Tree,0.8860759493670886,0.8484848484848485,0.9304347826086956,0.8492063492063492,0.9147869674185464,0.9492847854356307
SVM,Linear,0.8227848101265823,0.7303370786516854,0.7478260869565218,0.7288135593220338,0.8546365914786967,0.883419689119171
LinearRegression,Linear,0.7721518987341772,0.6777777777777778,0.4434782608695652,0.36042402826855124,0.6666666666666666,0.73582295988935
Huber,Linear,0.7721518987341772,0.6455026455026455,0.4782608695652174,0.3806228373702422,0.6491228070175439,0.731638418079096
Lasso,Linear,0.759493670886076,0.6818181818181818,0.33043478260869563,0.2878787878787879,0.6892230576441103,0.7372654155495979
Ridge,Linear,0.6835443037974683,0.7397260273972602,0.5826086956521739,0.4024024024024024,0.6416040100250626,0.7241867043847242
